Branch,Description,Synonyms|Description,AutoMatches,ContainsMatch,StartsWithMatch,TokenOverlapMatch
Ethnobiology,Study of how living things are used by human cultures – study of dynamic relationships between peoples.,-,Ethnobiology | Study of how cultures relate to plants and animals.; Ethnobiology | Study of human interactions with living organisms.,Ethnobiology | Study of how cultures relate to plants and animals.; Ethnobiology | Study of human interactions with living organisms.,Ethnobiology | Study of how cultures relate to plants and animals.; Ethnobiology | Study of human interactions with living organisms.,-
Ethnobotany,Study of traditional plant use – study of a region's plants and their practical uses through the traditional knowledge of a local culture and people.,-,Ethnobotany | Study of cultural knowledge and use of plants.; Ethnobotany | Study of plant use in cultural contexts.,Ethnobotany | Study of cultural knowledge and use of plants.; Paleoethnobotany | Study of ancient plant use and remains.; Ethnobotany | Study of plant use in cultural contexts.,Ethnobotany | Study of cultural knowledge and use of plants.; Ethnobotany | Study of plant use in cultural contexts.,-
Ethnochoreology,Field of dance study – study of dances and its implication in culture.[relevant?],-,Ethnochoreology | Study of dance in cultural and social context.,Ethnochoreology | Study of dance in cultural and social context.,Ethnochoreology | Study of dance in cultural and social context.,-
Ethnogeny,study of origins of races or ethnic groups.[24],-,-,-,-,-
Ethnology,Branch of anthropology – study of cultures.,-,Ethnology | Study of comparative cultural analysis across societies.; Ethnology | Study of cultures through comparative ethnographic methods.,Ethnology | Study of comparative cultural analysis across societies.; Ethnology | Study of cultures through comparative ethnographic methods.,Ethnology | Study of comparative cultural analysis across societies.; Ethnology | Study of cultures through comparative ethnographic methods.,-
Ethnomethodology,Study of how social order is produced – study of everyday communication and social interaction.,-,Ethnomethodology | Study of everyday methods people use to create social order.,Ethnomethodology | Study of everyday methods people use to create social order.,Ethnomethodology | Study of everyday methods people use to create social order.,-
Ethnomusicology,Study of the cultural aspects of music – study of comparative musical systems.[relevant?],-,Ethnomusicology | Study of music in cultural and social context.,Ethnomusicology | Study of music in cultural and social context.,Ethnomusicology | Study of music in cultural and social context.,-
Finance,Academic discipline studying businesses and investments – science or study of money management.[relevant?],-,Finance | Study of managing money investments and financial markets.,Finance | Study of managing money investments and financial markets.; Public finance | Study of government revenue spending and budgeting.; Sociology of finance | Study of financial systems and their social effects.; Computational finance | Study of computational methods in finance.,Finance | Study of managing money investments and financial markets.,-
Folkloristics,Branch of anthropology – study of folklore and fables.[relevant?],-,-,-,-,-
Garbology,Study of modern refuse,-,-,-,-,-
Genealogy,Study of individual descent and bloodline – study of descent of families,-,-,-,-,-
Gigantology,study of giants[citation needed][relevant?],-,-,-,-,-
Grammatology,Study of graphemes and writing systems – study of systems of writing,-,Grammatology | Study of writing systems and the science of writing.,Grammatology | Study of writing systems and the science of writing.,Grammatology | Study of writing systems and the science of writing.,-
Helcology,study of ulcers[27],-,-,-,-,-
Histopathology,Microscopic examination of tissue in order to study and diagnose disease – study of changes in tissue due to disease,-,Histopathology | Study of disease at the tissue level.,Histopathology | Study of disease at the tissue level.,Histopathology | Study of disease at the tissue level.,-
Hoplology,The study of human combative behavior and performance,-,-,-,-,-
Iconography,Branch of art history – study of drawing symbols [citation needed],-,-,-,-,-
Idiopsychology,study of the psychology of one's own mind [citation needed],-,-,-,-,-
Irenology,Social science study of peace – study of peace [citation needed],-,-,-,-,-
Kinesics,Interpretation of body motion communication – study of gestural communication,-,-,-,-,-
Kinesiology,Study of human body movement – study of human movement and posture,-,-,Kinesiology / Exercise physiology / Performance science | Study of human movement and performance science.,Kinesiology / Exercise physiology / Performance science | Study of human movement and performance science.,-
Ktenology,Scientific study of killing,-,-,-,-,-
Larithmics,study of population statistics [citation needed],-,-,-,-,-
Limnobiology,study of freshwater ecosystems [citation needed],-,-,-,-,-
Logistics,"Planning, implementation and control of efficient flow and storage of goods, services and information",-,Logistics | Study of planning movement and sustainment of forces.; Logistics | Study of logistics and transport supply chains.,Logistics | Study of planning movement and sustainment of forces.; Logistics | Study of logistics and transport supply chains.; Space logistics | Study of logistics for space missions and supplies.,Logistics | Study of planning movement and sustainment of forces.; Logistics | Study of logistics and transport supply chains.,-
Magnetics,Class of physical phenomena – study of magnetism[citation needed],-,-,-,-,-
Magnetohydrodynamics,Model of electrically conducting fluids – study of electrically conducting fluids,-,Magnetohydrodynamics | Study of magnetic fluids in astrophysical systems.,Magnetohydrodynamics | Study of magnetic fluids in astrophysical systems.,Magnetohydrodynamics | Study of magnetic fluids in astrophysical systems.,-
Magnetostatics,Branch of physics about magnetism in systems with steady electric currents – study of magnetic fields in systems where the currents are steady,-,-,-,-,-
Momilogy,study of mummies [citation needed],-,-,-,-,-
Mythology,Type of traditional narrative – study of myths; fables; tales[citation needed][relevant?],-,Mythology | Study of myths and sacred narratives in cultures.,Mythology and Folklore | Study of myths folklore and traditional narratives.; Mythology | Study of myths and sacred narratives in cultures.; Archaeomythology | Study of myths in relation to archaeological evidence.,Mythology and Folklore | Study of myths folklore and traditional narratives.; Mythology | Study of myths and sacred narratives in cultures.,-
Oikology,science of housekeeping [citation needed],-,-,-,-,-
Orthoepy,Correct pronunciation of a language [relevant?],-,-,-,-,-
Orthography,Set of conventions for written language [relevant?],-,-,-,-,-
Palaeoanthropology,Study of ancient humans,-,-,-,-,-
Palaeolimnology,Scientific study of ancient lakes and streams,-,-,-,-,-
Paleo-osteology,study of ancient bones [citation needed],-,-,-,-,-
Parthenology,study of virgins [citation needed],-,-,-,-,-
Phoniatrics,Sudy and treatment of organs involved in speech production,-,-,-,-,-
Polemology,Multidisciplinary study of war,-,-,-,-,-
Primatology,Scientific study of primates,-,Primatology | Study of primates and their behavior.; Primatology | Study of primates and primate behavior.,Primatology | Study of primates and their behavior.; Primatology | Study of primates and primate behavior.,Primatology | Study of primates and their behavior.; Primatology | Study of primates and primate behavior.,-
Psychognosy,"study of mentality, personality or character",-,-,-,-,-
Pyroballogy,study of artillery,-,-,-,-,-
Silvics,Practice of controlling forests for timber production – study of tree's life[citation needed],-,-,-,-,-
Somatology,Branch of anthropology that studies the physical development of the human species – science of substances [citation needed],-,-,-,-,-
Spongology,study of sponges [citation needed],-,-,-,-,-
Stoichiology,science of elements of animal tissues [40],-,-,-,-,-
Stratography,art of leading an army [citation needed][relevant?],-,-,-,-,-
Symbology,"Something that represents an idea, process, or physical entity – study of symbols",-,-,-,-,-
Terrestrial ecology,Study of terrestrial ecosystems and the biotic and abiotic things that occupy them.,-,-,-,-,-
Teuthology,Study of cephalopods,-,Teuthology | Study of cephalopods such as squids.,Teuthology | Study of cephalopods such as squids.,Teuthology | Study of cephalopods such as squids.,-
Tonetics,Use of pitch to distinguish lexical or grammatical meaning,-,-,-,-,-
Trichology,The study of the hair and scalp,-,-,-,-,-
Tsiganology,study of gypsies[citation needed],-,-,-,-,-
Typology,System of classification – study of types of things[citation needed],-,-,Linguistic typology | Study of structural patterns across languages.,-,-
Webology,Academic journal on the World Wide Web – The study of the World Wide Web.[48],-,-,-,-,-
Writing Systems,Study of graphemes and writing systems – study of systems of writing,-,-,-,-,-
Zoosemiotics,Study of the use of signs among animals – study of animal communication [citation needed],-,Zoosemiotics | Study of animal communication and signs.,Zoosemiotics | Study of animal communication and signs.,Zoosemiotics | Study of animal communication and signs.,-
Rhochrematics,science of inventory management and the movement of products[citation needed],-,-,-,-,-
Storiology,study of folk tales [citation needed],-,-,-,-,-
